verb,prep,case,trans,sentence
sich befassen,mit,Dativ,to deal with (topic),"Wir müssen uns mit diesem Thema befassen."
sich beschäftigen,mit,Dativ,to keep busy with,"Er beschäftigt sich viel mit seinen Pflanzen."
rechnen,mit,Dativ,to expect/count on,"Wir rechnen morgen mit Schnee."
sprechen (Partner),mit,Dativ,to speak with,"Kann ich kurz mit dir sprechen?"
streiten,mit,Dativ,to argue with,"Ich möchte nicht mit dir streiten."
telefonieren,mit,Dativ,to talk on the phone with,"Sie telefoniert gerade mit ihrer Mutter."
umgehen,mit,Dativ,to handle/deal with,"Er kann gut mit Stress umgehen."
verbinden,mit,Dativ,to connect with,"Können Sie mich mit Herrn Müller verbinden?"
vergleichen,mit,Dativ,to compare with,"Man kann Äpfel nicht mit Birnen vergleichen."
zusammenhängen,mit,Dativ,to be related to,"Das Problem hängt mit der Software zusammen."
zufrieden sein,mit,Dativ,to be satisfied with,"Bist du mit deinem Gehalt zufrieden?"
fragen,nach,Dativ,to ask about,"Ein Tourist fragte nach dem Weg."
sich erkundigen,nach,Dativ,to inquire about,"Ich möchte mich nach den Preisen erkundigen."
riechen,nach,Dativ,to smell of,"Hier riecht es nach frischem Kaffee."
schmecken,nach,Dativ,to taste like,"Das Eis schmeckt nach Erdbeeren."
suchen,nach,Dativ,to search for,"Wir suchen nach einer Lösung."
sich ärgern,über,Akkusativ,to get annoyed about,"Ärgerst du dich über den Stau?"
sich aufregen,über,Akkusativ,to get upset about,"Reg dich nicht über Kleinigkeiten auf."
berichten (Topic),über,Akkusativ,to report on,"Die Zeitung berichtet über den Unfall."
sich beschweren,über,Akkusativ,to complain about,"Der Gast beschwerte sich über das Zimmer."
diskutieren,über,Akkusativ,to discuss (topic),"Sie diskutieren über Politik."
sich freuen (Gegenwart),über,Akkusativ,to be happy about,"Ich freue mich über deinen Besuch."
sich informieren,über,Akkusativ,to get info about,"Man sollte sich vorher über die Kosten informieren."
lachen,über,Akkusativ,to laugh about,"Wir haben viel über den Witz gelacht."
nachdenken,über,Akkusativ,to think about/reflect,"Ich muss über dein Angebot nachdenken."
reden,über,Akkusativ,to talk about,"Wir reden selten über unsere Gefühle."
staunen,über,Akkusativ,to be astonished at,"Ich staune über dein Wissen."
sich wundern,über,Akkusativ,to be surprised at,"Ich wundere mich über seine Pünktlichkeit."
sich bewerben,um,Akkusativ,to apply for,"Sie bewirbt sich um ein Stipendium."
bitten,um,Akkusativ,to ask for (request),"Darf ich dich um einen Gefallen bitten?"
es geht,um,Akkusativ,it is about,"In diesem Text geht es um Umweltschutz."
sich kümmern,um,Akkusativ,to take care of,"Wer kümmert sich um den Hund?"
sich sorgen,um,Akkusativ,to worry about,"Ich sorge mich um seine Gesundheit."
abhängen,von,Dativ,to depend on,"Das hängt vom Preis ab."
sich erholen,von,Dativ,to recover from,"Er muss sich noch von der Operation erholen."
erzählen,von,Dativ,to tell about,"Erzähl mir von deiner Reise!"
halten,von,Dativ,to think of (opinion),"Was hältst du von meinem Vorschlag?"
handeln,von,Dativ,to be about (plot),"Der Film handelt von einem Musiker."
träumen,von,Dativ,to dream of,"Ich träume von einem eigenen Haus."
unterscheiden,von,Dativ,to distinguish from,"Er unterscheidet sich sehr von seinem Bruder."
überzeugen,von,Dativ,to convince of,"Ich bin von seiner Unschuld überzeugt."
wissen,von,Dativ,to know about,"Ich weiß nichts von diesem Plan."
Angst haben,vor,Dativ,to be afraid of,"Viele Menschen haben Angst vor Spinnen."
schützen,vor,Dativ,to protect from,"Die Creme schützt vor Sonnenbrand."
warnen,vor,Dativ,to warn against,"Man hat uns vor dem Sturm gewarnt."
einladen,zu,Dativ,to invite to,"Ich lade dich zu meinem Geburtstag ein."
gehören,zu,Dativ,to belong to (group),"Frankreich gehört zur EU."
gratulieren,zu,Dativ,to congratulate on,"Ich gratuliere dir zum Erfolg."
passen,zu,Dativ,to fit/suit,"Die Krawatte passt nicht zu dem Hemd."
zählen,zu,Dativ,to count among,"Er zählt zu den besten Spielern der Welt."
